depth,min_leafs,data_group,test_acc,test_acc_std,test_f1,test_f1_std
2.0,2.0,late,0.6389439907247739,0.12361977003275809,0.6389439907247739,0.12361977003275809
2.0,32.0,late,0.595379816412906,0.13878559913761623,0.595379816412906,0.13878559913761623
2.0,128.0,late,0.5931054111024046,0.15614464851405674,0.5931054111024046,0.15614464851405674
10.0,2.0,late,0.8914558372182503,0.03372957036273571,0.8914558372182503,0.03372957036273571
10.0,32.0,late,0.8709502376968397,0.04936538378879717,0.8709502376968397,0.04936538378879717
10.0,128.0,late,0.829130223865811,0.0738466795075874,0.829130223865811,0.0738466795075874
20.0,2.0,late,0.9369927419055883,0.0005963526227083527,0.9369927419055883,0.0005963526227083527
20.0,32.0,late,0.9353745371015432,0.0017393687679239337,0.9353745371015432,0.0017393687679239337
20.0,128.0,late,0.9082444883605886,0.018543541385729893,0.9082444883605886,0.018543541385729893
2.0,2.0,late,0.6389439907247739,0.12361977003275809,0.6389439907247739,0.12361977003275809
2.0,32.0,late,0.595379816412906,0.13878559913761623,0.595379816412906,0.13878559913761623
2.0,128.0,late,0.5931054111024046,0.15614464851405674,0.5931054111024046,0.15614464851405674
10.0,2.0,late,0.8914558372182503,0.03372957036273571,0.8914558372182503,0.03372957036273571
10.0,32.0,late,0.8709502376968397,0.04936538378879717,0.8709502376968397,0.04936538378879717
10.0,128.0,late,0.829130223865811,0.0738466795075874,0.829130223865811,0.0738466795075874
20.0,2.0,late,0.9369927419055883,0.0005963526227083527,0.9369927419055883,0.0005963526227083527
20.0,32.0,late,0.9353745371015432,0.0017393687679239337,0.9353745371015432,0.0017393687679239337
20.0,128.0,late,0.9082444883605886,0.018543541385729893,0.9082444883605886,0.018543541385729893
2.0,2.0,early,0.5962144141817898,0.1333278083251831,0.5962144141817898,0.1333278083251831
2.0,32.0,early,0.6135595788822432,0.15350747939557804,0.6135595788822432,0.15350747939557804
2.0,128.0,early,0.5966178149275404,0.16690808374266364,0.5966178149275404,0.16690808374266364
10.0,2.0,early,0.8837945465864074,0.037798267153259194,0.8837945465864074,0.037798267153259194
10.0,32.0,early,0.857246001848398,0.06093973093056063,0.857246001848398,0.06093973093056063
10.0,128.0,early,0.8232386466044312,0.0756893582963986,0.8232386466044312,0.0756893582963986
20.0,2.0,early,0.9367904663050828,0.0005065066102076766,0.9367904663050828,0.0005065066102076766
20.0,32.0,early,0.932820820427995,0.0038578213109005345,0.932820820427995,0.0038578213109005345
